Method Name;CCM;CND;CDISP;CINT;FDP;HD;HEF;HER;HL;HVC;HVL;LOC;LAA;LND;MMI;MND;CC;NOAV;NOL;NOPM
KtLanguageVisitor.KtLanguageVisitor.calculateLogicalComplexity(KtToken?);14;3;0,7143;5;1;23,3182;12742,6939;0,1819;102;41;546,4703;13;0,2857;1;56,2391;4;9;5;1;2
KtLanguageVisitor.KtLanguageVisitor.getCallNameFromPsi(KtElement);21;5;0,7778;9;1;17,2308;11056,7395;0,1654;119;42;641,6858;18;0,0;0;52,6413;5;11;5;0;1
KtLanguageVisitor.KtLanguageVisitor.getEnclosingFunction(NavigatablePsiElement, Boolean);16;3;0,8333;4;0;14,0;5358,3245;0,1021;78;30;382,7375;19;0,0;1;53,7031;4;11;3;1;2
KtLanguageVisitor.KtLanguageVisitor.getLogicalOperationsTokens();0;0;0,6667;3;1;2,4;91,2938;0,0068;12;9;38,0391;4;0,0;0;75,805;0;1;0;0;0
KtLanguageVisitor.KtLanguageVisitor.getNegationOperationToken();0;0;1,0;1;1;1,0;8,0;0,0013;4;4;8,0;1;0,0;0;93,6766;0;1;0;0;0
KtLanguageVisitor.KtLanguageVisitor.getTempNegOperationToken();0;0;1,0;1;1;1,0;8,0;0,0013;4;4;8,0;1;0,0;0;93,6766;0;1;0;0;0
KtLanguageVisitor.KtLanguageVisitor.isRecursiveCall(KtNameReferenceExpression);6;2;0,7273;11;1;9,0588;2438,7429;0,0604;56;28;269,2119;7;0,0;0;64,2722;2;8;3;0;1
KtLanguageVisitor.KtLanguageVisitor.postProcess(PsiElement);2;1;1,0;2;0;10,4615;2481,3215;0,0611;54;21;237,1851;9;0,5;0;62,2606;1;9;2;0;1
KtLanguageVisitor.KtLanguageVisitor.processElement(PsiElement);22;2;0,1875;16;2;20,2692;20010,8049;0,2457;170;56;987,2503;17;0,4167;0;51,7898;2;20;2;0;1
KtLanguageVisitor.KtLanguageVisitor.processIfExpression(KtIfExpression);2;1;0,5;8;1;11,6471;3508,0338;0,077;62;29;301,1948;11;0,4;0;59,7117;1;5;4;0;1
KtLanguageVisitor.KtLanguageVisitor.shouldVisitElement(PsiElement);0;0;0,0;0;0;0,0;0,0;0,0;1;1;0,0;1;0,0;0;∞;0;1;0;0;1
LabelledComponent.LabelledComponent.<init>(String, JComponent);0,0;0,0;0,0;0;0;0,0;0,0;0;1;0;2
PythonComplexityInfoProvider.PythonComplexityInfoProvider.<init>(Language);0,0;0,0;0,0;0;0;0,0;0,0;0;1;0;1
PythonComplexityInfoProvider.PythonComplexityInfoProvider.getNameElementFor(PsiElement);2;2;1,0;2;0;5,8333;227,5;0,0124;13;8;39,0;2;0,0;0;82,1449;1;3;1;0;1
PythonComplexityInfoProvider.PythonComplexityInfoProvider.getVisitor(ComplexitySink);0;0;0,0;0;0;1,5;17,4145;0,0022;5;5;11,6096;1;0,0;0;92,7082;0;1;1;0;1
